,publisher,review_type,review_date,title,content_rating,genre,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,review_score,year,country,imdb_plot,imdb_score,imdb_count,review_negative,review_neutral,review_positive,review_compound,consensus_negative,consensus_neutral,consensus_positive,consensus_compound,score
32200,TV Guide,Rotten,2000-01-01,Under Suspicion,R,Art House & International,2000-09-22,2012-04-16,110.0,Sony Pictures Home Entertainment,Rotten,49.0,45.0,Rotten,49.0,8358.0,40.0,2000,UK,"In Brighton in 1959, disgraced cop turned private detective Tony Aaron works largely on falsifying adulteries for use as evidence in divorce cases. He involves his wife as the fictional ...",65.0,3491.0,0.09,0.524,0.386,0.7845,0.241,0.581,0.178,-0.3612,54.79
32276,Mr. Showbiz,Rotten,2000-01-01,The Contender,R,Drama,2000-10-13,2015-05-08,126.0,Dreamworks Distribution,Fresh,76.0,130.0,Fresh,73.0,8297.0,55.00000000000001,2000,USA,"Senator Laine Hanson is a contender for U.S. Vice President, but information and disinformation about her past surfaces that threatens to derail her confirmation.",69.0,22522.0,0.0,0.606,0.394,0.4404,0.0,0.7,0.3,0.8793,72.99
32324,Reel.com,Rotten,2000-01-01,The Ladies Man,R,Comedy,2000-10-13,2013-08-01,84.0,Paramount Pictures,Rotten,11.0,73.0,Rotten,42.0,21189.0,37.5,2000,USA,"A clueless, recently single graduate unwittingly takes a job as a servant in a mansion inhabited by dozens of young women.",64.0,3518.0,0.714,0.286,0.0,-0.3612,0.0,0.939,0.061,0.1779,37.17
32384,Filmcritic.com,Rotten,2000-01-01,Lost Souls,R,Drama,1970-01-01,2011-09-01,97.0,New Line Cinema,Rotten,8.0,91.0,Rotten,22.0,10738.0,30.0,1970,USA,"A Catholic teacher meets an atheist journalist, whom a group of Catholics and Priests believes has been chosen by the devil to be the Antichrist.",48.0,10316.0,0.184,0.753,0.062,-0.6908,0.239,0.761,0.0,-0.7096,28.2
32430,Rochester Democrat and Chronicle,Fresh,2000-01-01,Bedazzled,PG-13,Comedy,1970-01-01,2015-11-25,93.0,20th Century Fox,Rotten,50.0,115.0,Rotten,42.0,371201.0,80.0,1970,UK,"A hapless loser sells his soul to the Devil in exchange for seven wishes, but has trouble winning over the girl of his dreams.",69.0,8218.0,0.0,0.724,0.276,0.7264,0.0,0.847,0.153,0.4404,54.79
32520,One Guy's Opinion,Rotten,2001-03-05,Blow Dry,R,Comedy,2001-03-07,2016-02-14,91.0,Miramax Films,Rotten,19.0,64.0,Rotten,55.0,10188.0,0.0,2001,USA,"In 2000, a small town hosts The British Hairdressing Championship, where a former 2-time winner, his son, his run-away wife and his runaway wife's lady lover reside (not all on speaking terms).",62.0,7725.0,0.225,0.775,0.0,-0.4404,0.0,0.709,0.291,0.2617,45.26
32541,Spirituality & Practice,Fresh,2000-01-01,The Gift,R,Drama,2000-12-20,2016-10-04,110.0,Paramount Classics,Rotten,57.0,122.0,Rotten,55.0,51003.0,60.0,2000,USA,A fortune teller with extrasensory perception is asked to help find a young woman who has mysteriously disappeared.,66.0,62370.0,0.136,0.782,0.082,-0.3167,0.07,0.815,0.116,0.424,72.91
32641,rec.arts.movies.reviews,Fresh,2000-01-01,Traffic,R,Drama,2000-12-27,2015-09-10,147.0,USA Films,Fresh,93.0,161.0,Fresh,85.0,190385.0,90.0,2000,USA,"A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business.",76.0,193193.0,0.0,1.0,0.0,0.0,0.049,0.67,0.281,0.8858,84.9
32905,3BlackChicks Review,Rotten,2000-01-01,Double Take,PG-13,Action & Adventure,2001-01-12,2016-08-10,88.0,Buena Vista Pictures,Rotten,12.0,78.0,Rotten,50.0,15816.0,60.0,2001,Canada,A writer gets caught up in something dangerous after witnessing a crime and identifying the supposed perpetrator in a line-up.,44.0,243.0,0.0,1.0,0.0,0.0,0.451,0.441,0.108,-0.8445,36.41
32959,ReelViews,Fresh,2000-01-01,The Pledge,R,Drama,2001-01-19,2018-09-02,124.0,Warner Bros. Pictures,Fresh,78.0,124.0,Rotten,59.0,22080.0,75.0,2001,USA,A retiring police detective pledges to catch the killer of a young child.,68.0,52538.0,0.037,0.963,0.0,-0.1531,0.14,0.679,0.181,0.0258,68.9
33069,Reeling Reviews,Fresh,2000-01-01,Panic,R,Drama,2000-12-01,2016-11-23,90.0,Roxie Releasing,Fresh,91.0,56.0,Fresh,62.0,4345.0,67.0,2000,USA,"Alex, a hit man, tries to get out of the family business, but his father won't let him do so. While seeking the help of a therapist, he meets a sexually charged 23-year-old woman with whom he falls in love.",66.0,7913.0,0.0,1.0,0.0,0.0,0.0,0.827,0.173,0.3182,71.0
33131,rec.arts.movies.reviews,Fresh,2000-01-01,Hannibal,R,Drama,2001-02-09,2016-11-30,131.0,MGM,Rotten,39.0,171.0,Fresh,62.0,403137.0,70.0,2001,USA,"Living in exile, Dr. Hannibal Lecter tries to reconnect with now disgraced F.B.I. Agent Clarice Starling, and finds himself a target for revenge from a powerful victim.",68.0,250009.0,0.249,0.65,0.1,-0.7579,0.0,1.0,0.0,0.0,56.62
33218,TheMovieReport.com,Rotten,2000-01-01,Down to Earth,PG-13,Comedy,2001-02-16,2013-08-01,87.0,Paramount Pictures,Rotten,20.0,96.0,Rotten,40.0,62511.0,50.0,2001,USA,"Upset about a new Broadway musical's mockery of Greek mythology, the goddess Terpsichore comes down to earth and lands a part in the show. She works her charms on the show's producer and he...",62.0,1152.0,0.0,0.793,0.207,0.4336,0.215,0.785,0.0,-0.6369,40.48
33302,TheFilmFile.com,Fresh,2000-01-01,Sweet November,PG-13,Drama,2001-02-16,2012-05-01,119.0,Warner Bros. Pictures,Rotten,15.0,98.0,Fresh,76.0,94636.0,62.5,2001,USA,"A woman lures emotionally crippled men into affairs, then helps them repair their lives.",69.0,948.0,0.0,0.705,0.295,0.5574,0.154,0.697,0.149,-0.0258,49.72
33374,JoBlo's Movie Network,Rotten,2001-03-20,The Brothers,R,Comedy,2001-03-23,2014-03-24,101.0,Screen Gems,Fresh,63.0,67.0,Fresh,85.0,10183.0,50.0,2001,UK,The MacFarishes and the Macraes are lifelong enemies living on a remote island in the Western Isles of Scotland. Mary Lawson is a Scottish orphan brought up in a convent who arrives on the ...,67.0,106.0,0.391,0.609,0.0,-0.431,0.0,1.0,0.0,0.0,69.61
33418,Dennis Schwartz Movie Reviews,Rotten,2000-01-01,Heartbreakers,PG-13,Comedy,2001-03-23,2016-11-01,123.0,MGM,Rotten,53.0,122.0,Rotten,51.0,71303.0,57.99999999999999,2001,USA,"Blue and Eli, two friends, have problems with women. Blue, a yet-to-be discovered painter is left by his longtime girlfriend, because she considers him too immature for a long lasting ...",59.0,441.0,0.0,0.872,0.128,0.3612,0.214,0.655,0.131,-0.4647,56.25
33520,EricDSnider.com,Fresh,2001-02-13,L.I.E.,NC17,Art House & International,2001-09-07,2016-12-05,107.0,Lot 47 Films,Fresh,84.0,85.0,Fresh,78.0,7490.0,91.0,2001,USA,"A 15-year-old Long Island boy loses everything and everyone he knows, soon becoming involved in a relationship with a much older man.",71.0,9454.0,0.0,0.647,0.353,0.7269,0.0,1.0,0.0,0.0,76.43
33555,Compuserve,Rotten,2001-04-23,Driven,PG-13,Action & Adventure,2001-04-27,2017-10-02,117.0,Warner Bros. Pictures,Rotten,14.0,111.0,Rotten,33.0,43198.0,62.5,2001,USA,A young hot shot driver is in the middle of a championship season and is coming apart at the seams. A former CART champion is called in to give him guidance.,46.0,38891.0,0.0,0.791,0.209,0.4404,0.0,0.686,0.314,0.296,47.01
33693,Empire Magazine,Fresh,2001-02-07,Brother,R,Action & Adventure,2001-06-01,2013-05-07,112.0,Sony Pictures Classics,Rotten,47.0,74.0,Fresh,79.0,8713.0,80.0,2001,USA,"A Japanese gangster is exiled to Los Angeles where his brother lives with a small but respectable multi-racial gang, who he inspires to expand their influence.",72.0,21454.0,0.0,0.68,0.32,0.5719,0.0,1.0,0.0,0.0,64.55
33724,rec.arts.movies.reviews,Rotten,2000-01-01,Angel Eyes,R,Drama,2001-05-18,2017-05-02,104.0,Warner Bros.,Rotten,33.0,132.0,Rotten,46.0,66154.0,50.0,2001,USA,"A troubled teenager wants no one coming between her and her stepfather--which, unknown to him, is why she murdered her mother. Now ""dad"" has a new girlfriend, who has no idea how much trouble she will soon be in.",42.0,178.0,0.157,0.654,0.19,0.128,0.0,0.838,0.162,0.5945,45.33
33864,Hollywood Report Card,Fresh,2001-05-30,The Animal,PG-13,Comedy,2001-06-01,2016-03-10,84.0,Columbia Pictures,Rotten,30.0,83.0,Rotten,28.0,203619.0,75.0,2001,USA,"After receiving organ transplants from various animal donors, a man finds himself taking on the traits of those animals.",48.0,56312.0,0.0,1.0,0.0,0.0,0.12,0.578,0.302,0.6232,38.71
33897,TheFilmFile.com,Rotten,2000-01-01,Evolution,PG-13,Comedy,2001-06-08,2016-08-10,101.0,Dreamworks Pictures,Rotten,43.0,138.0,Rotten,48.0,259038.0,50.0,2001,USA,"A fire-fighting cadet, two college professors, and a geeky but sexy government scientist work against an alien organism that has been rapidly evolving since its arrival on Earth inside a meteor.",61.0,118060.0,0.0,1.0,0.0,0.0,0.131,0.726,0.143,0.0772,50.89
33958,Dennis Schwartz Movie Reviews,Rotten,2000-01-01,The Fast and the Furious,PG-13,Action & Adventure,2001-06-22,2015-09-10,107.0,Universal Pictures,Rotten,53.0,150.0,Fresh,74.0,1044116.0,57.99999999999999,2001,USA,"A trucker framed for murder breaks out of jail, takes a young woman hostage, and enters her sports car in cross-border road race hoping to get to Mexico before the police catch him.",54.0,1169.0,0.198,0.577,0.225,0.2617,0.163,0.837,0.0,-0.5719,60.79
34124,rec.arts.movies.reviews,Rotten,2000-01-01,Pearl Harbor,PG-13,Action & Adventure,2001-05-25,2015-11-23,183.0,Touchstone,Rotten,24.0,194.0,Fresh,66.0,905477.0,50.0,2001,USA,A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.,62.0,306993.0,0.0,0.767,0.233,0.7184,0.185,0.617,0.198,0.128,49.98
34371,Rolling Stone,Rotten,2001-07-10,The Score,R,Action & Adventure,2001-07-13,2013-08-01,123.0,Paramount Pictures,Fresh,73.0,128.0,Fresh,67.0,60119.0,60.0,2001,Germany,An aging thief hopes to retire and live off his ill-gotten wealth when a young kid convinces him into doing one last heist.,68.0,119173.0,0.0,0.851,0.149,0.2732,0.0,0.917,0.083,0.2263,69.52
34427,Chicago Tribune,Fresh,2001-10-04,Heist,R,Drama,2001-11-09,2017-05-02,107.0,Warner Bros. Pictures,Fresh,66.0,129.0,Fresh,60.0,19366.0,87.5,2001,Canada,"A career jewel thief finds himself at tense odds with his longtime partner, a crime boss who sends his nephew to keep watch.",65.0,32860.0,0.0,0.703,0.297,0.5859,0.0,0.846,0.154,0.4767,65.19
34547,Compuserve,Fresh,2001-07-22,The Others,PG-13,Horror,2001-08-10,2016-11-10,101.0,Miramax Films,Fresh,83.0,165.0,Fresh,77.0,344417.0,75.0,2001,USA,"At Washington High, there are the popular kids and the geeks, the stoners and the brains, the athletes and the artists and then there are The Others. They don't look like the rest of the ...",46.0,109.0,0.0,1.0,0.0,0.0,0.115,0.814,0.071,-0.2163,74.23
34814,Rolling Stone,Rotten,2002-03-28,Big Trouble,PG-13,Comedy,2002-04-05,2016-08-10,85.0,Touchstone Pictures,Rotten,48.0,112.0,Rotten,54.0,21168.0,20.0,2002,USA,Insurance agent plots with client to kill her nutty husband.,52.0,1110.0,0.482,0.518,0.0,-0.8778,0.282,0.718,0.0,-0.6887,54.31
34982,Compuserve,Fresh,2001-08-29,Sidewalks of New York,R,Comedy,2001-11-21,2016-08-10,107.0,Paramount Classics,Rotten,56.0,94.0,Rotten,54.0,5187.0,75.0,2001,USA,A dim-witted slumlord tries to reform a gang of urban boys (and impress an attractive young woman) by transforming their rough neighborhood into a more decent place.,57.0,420.0,0.0,0.838,0.162,0.4019,0.191,0.809,0.0,-0.5423,58.18
35062,Slant Magazine,Rotten,2001-11-14,The Wash,R,Comedy,2001-10-01,2016-10-01,96.0,Lions Gate Films,Rotten,8.0,50.0,Fresh,64.0,10797.0,50.0,2001,USA,Life at the car wash is a place where anything can and does happen to two friends (,48.0,6559.0,0.124,0.461,0.414,0.7421,0.0,0.824,0.176,0.4939,36.5
35088,Rolling Stone,Rotten,2002-02-03,Collateral Damage,R,Action & Adventure,2002-02-08,2008-08-15,109.0,Warner Bros. Pictures,Rotten,19.0,143.0,Rotten,27.0,79880.0,10.0,2002,USA,"After his family is killed by a terrorist act, a firefighter goes in search of the one responsible.",55.0,71131.0,0.0,1.0,0.0,0.0,0.192,0.659,0.15,-0.4019,36.82
35170,JoBlo's Movie Network,Fresh,2002-01-07,The Count of Monte Cristo,PG-13,Action & Adventure,2002-01-25,2016-07-12,131.0,Touchstone Pictures,Fresh,73.0,143.0,Fresh,88.0,209404.0,70.0,2002,USA,"After greedy men have Edmound Dantes unjustly imprisoned for 20 years for innocently delivering a letter entrusted to him, he escapes to get his revenge on them.",75.0,2399.0,0.179,0.643,0.178,-0.0018,0.047,0.827,0.126,0.4265,76.63
35312,Apollo Guide,Rotten,2001-10-18,On the Line,PG,Comedy,2001-10-26,2019-05-31,85.0,Miramax Films,Rotten,19.0,69.0,Rotten,47.0,8344.0,52.0,2001,USA,"A Border Patrol Agent is determined to catch his old nemesis, an American criminal who successfully smuggles illegal people across the border from Mexico.",58.0,201.0,0.099,0.662,0.238,0.4939,0.0,0.606,0.394,0.6369,39.25
35370,BBC.com,Rotten,2002-04-17,Invincible,PG-13,Art House & International,2002-09-20,2016-11-21,131.0,Fine Line Features,Rotten,54.0,52.0,Rotten,51.0,4693.0,40.0,2002,UK,A Jewish strongman performs in Berlin as the blond Aryan hero Siegfried.,64.0,4006.0,0.0,0.789,0.211,0.4588,0.231,0.769,0.0,-0.4019,66.88
35434,SPLICEDWire,Rotten,2001-11-30,Texas Rangers,PG-13,Action & Adventure,2001-11-30,2016-10-08,90.0,Dimension Films,Rotten,2.0,51.0,Rotten,29.0,7339.0,37.5,2001,USA,"A ragtag group of youngsters band together after the American Civil War to form the Texas Rangers, a group charged with the dangerous, ruthless duty of cleaning up the West.",52.0,5392.0,0.0,0.894,0.106,0.3612,0.0,1.0,0.0,0.0,30.28
35463,Slant Magazine,Fresh,2001-11-16,Iris,R,Drama,2001-12-14,2016-10-08,90.0,Miramax Films,Fresh,79.0,110.0,Fresh,73.0,9394.0,62.5,2001,Netherlands,"When Iris moves to the country to start a veterinary practice, she finds a lot of skeptical villagers as well as disapproval from her city bound boyfriend.",65.0,181.0,0.0,0.69,0.31,0.4019,0.0,0.814,0.186,0.4939,76.02
35747,Slant Magazine,Rotten,2001-11-21,Behind Enemy Lines,PG-13,Action & Adventure,2001-11-30,2015-11-25,106.0,20th Century Fox,Rotten,37.0,131.0,Fresh,62.0,321823.0,25.0,2001,USA,"Col. Carradine leads a group of American P.O.W.s, battling their way to freedom as Saigon falls to the Viet Cong.",51.0,459.0,0.283,0.543,0.174,-0.5871,0.254,0.746,0.0,-0.7579,51.32
35927,Sacramento News & Review,Rotten,2002-06-10,Scooby-Doo,PG,Comedy,2002-06-08,2011-12-26,86.0,Warner Bros. Pictures,Rotten,30.0,145.0,Rotten,38.0,408710.0,40.0,2002,USA,"After an acrimonious break up, the Mystery Inc. gang are individually brought to an island resort to investigate strange goings on.",51.0,96464.0,0.0,0.649,0.351,0.7579,0.263,0.645,0.092,-0.5719,41.25
36035,Slant Magazine,Rotten,2002-02-12,Crossroads,PG-13,Action & Adventure,2002-02-15,2017-01-01,94.0,Paramount Pictures,Rotten,14.0,104.0,Rotten,40.0,359335.0,12.5,2002,USA,An amnesiac French diplomat is blackmailed for crimes that he committed before he lost his memory.,67.0,1157.0,0.0,0.884,0.116,0.2732,0.127,0.8,0.073,-0.2023,37.75
36269,Reeling Reviews,Rotten,2002-05-07,The New Guy,PG-13,Comedy,2002-05-07,2016-03-17,84.0,Columbia Pictures,Rotten,7.0,99.0,Rotten,54.0,66231.0,25.0,2002,USA,A high school senior branded uncool in the ninth grade gets himself expelled so he changes his image to cool kid at the town's other high school.,59.0,33220.0,0.0,1.0,0.0,0.0,0.0,0.795,0.205,0.3818,38.04
36566,JoBlo's Movie Network,Rotten,2002-02-27,The Rookie,G,Drama,2002-03-29,2016-07-08,127.0,Buena Vista Distribution Compa,Fresh,84.0,155.0,Fresh,70.0,61151.0,50.0,2002,USA,"Pvt. Thomas Noonan and Sgt. Pete Marshall are both vying for the hand of Lili Marlene. After World War II ends, the three of them get stranded on a remote island. Two Japanese sailors, unaware that the war has ended, arrive on the island.",37.0,100.0,0.0,0.872,0.128,0.3612,0.0,0.722,0.278,0.7713,70.52
36899,Slant Magazine,Rotten,2002-03-11,Showtime,PG-13,Comedy,2002-03-15,2011-03-28,95.0,Warner Bros. Pictures,Rotten,25.0,123.0,Rotten,25.0,49158.0,50.0,2002,USA,"A spoof of buddy cop movies where two very different cops are forced to team up on a new reality based television cop show, while tracking down the manufacturer and distributor of an illegally made semi-automatic firearm.",55.0,59940.0,0.0,1.0,0.0,0.0,0.092,0.805,0.103,0.0772,39.0
36985,Hollywood Report Card,Fresh,2002-03-10,Human Nature,R,Comedy,2002-04-12,2016-10-01,96.0,Fine Line Features,Rotten,49.0,95.0,Fresh,61.0,12464.0,62.5,2002,France,"A woman is in love with a man in love with another woman, and all three have designs on a young man raised as an ape.",64.0,17190.0,0.216,0.455,0.33,0.4588,0.322,0.678,0.0,-0.7969,57.81
37046,Rolling Stone,Rotten,2002-04-10,Murder by Numbers,R,Drama,2002-04-19,2010-12-01,120.0,Warner Bros. Pictures,Rotten,31.0,128.0,Rotten,49.0,61932.0,40.0,2002,USA,"Two gifted high school students execute a ""perfect"" murder - then become engaged in an intellectual contest with a seasoned homicide detective.",62.0,52231.0,0.111,0.889,0.0,-0.25,0.0,0.699,0.301,0.5106,49.66
37137,BBC.com,Fresh,2001-09-04,Enigma,R,Drama,2002-04-19,2013-05-02,119.0,Manhattan Pictures Internation,Fresh,72.0,106.0,Rotten,55.0,8352.0,80.0,2002,UK,A C.I.A. Agent tries to infiltrate Soviet intelligence to stop a murderous diabolical plot.,60.0,1213.0,0.0,1.0,0.0,0.0,0.0,0.851,0.149,0.1027,63.89
37449,Filmcritic.com,Rotten,2002-04-14,Joshua,G,Drama,2002-04-19,2016-11-30,90.0,Artisan Entertainment,Rotten,22.0,23.0,Fresh,76.0,2888.0,60.0,2002,USA,"A black soldier returns from fighting for the Union in the Civil War only to find out that his mother has been murdered by a gang of white thugs. He becomes a bounty hunter, determined to track down and kill the men who killed his mother.",45.0,294.0,0.497,0.503,0.0,-0.7845,0.0,1.0,0.0,0.0,56.14
37524,TheFilmFile.com,Rotten,2002-05-11,Enough,PG-13,Drama,2002-05-24,2012-04-16,110.0,Sony Pictures,Rotten,22.0,125.0,Fresh,67.0,123434.0,50.0,2002,USA,"After running away fails, a terrified woman empowers herself in order to battle her abusive husband.",58.0,38833.0,0.355,0.645,0.0,-0.6705,0.512,0.423,0.066,-0.8591,47.47
37612,Trades,Fresh,2002-05-02,Insomnia,R,Drama,2002-05-24,2010-12-01,118.0,Warner Bros. Pictures,Fresh,92.0,203.0,Fresh,77.0,105399.0,100.0,2002,Norway,"In a Norwegian city with a 24-hour daylight cycle a Swedish murder investigator has been brought in on a special case. Sleep deprived, he makes a horrible mistake which is discovered by the killer he has been hunting.",73.0,12924.0,0.0,0.741,0.259,0.1027,0.0,0.838,0.162,0.4019,80.12
37888,BBC.com,Fresh,2002-10-13,They,PG-13,Action & Adventure,2002-01-01,2016-11-30,89.0,Arts For The Free Spirit,Rotten,38.0,56.0,Rotten,24.0,12877.0,80.0,2002,USA,A psychology student finds all her childhood fears and phobias becoming real after a traumatic event.,48.0,12203.0,0.237,0.564,0.199,-0.25,0.289,0.711,0.0,-0.7579,38.24
37976,Apollo Guide,Rotten,2002-09-20,Trapped,R,Action & Adventure,2002-09-20,2012-04-16,105.0,Columbia Pictures,Rotten,17.0,59.0,Rotten,48.0,21639.0,64.0,2002,USA,"Secret Service agents make a deal with a counterfeiting inmate to be released on early parole if he will help them recover some bogus moneymaking plates, but he plans to double cross them.",63.0,978.0,0.269,0.68,0.05,-0.7031,0.172,0.758,0.071,-0.4588,42.77
38186,Reel Film Reviews,Rotten,2002-11-08,Derailed,R,Action & Adventure,1970-01-01,2017-01-23,89.0,Artisan Home Entertainment,Rotten,0.0,5.0,Rotten,21.0,9182.0,25.0,1970,USA,"When two married business executives having an affair are blackmailed by a violent criminal, the two must turn the tables on him to save their families.",66.0,70124.0,0.535,0.465,0.0,-0.3182,0.118,0.882,0.0,-0.34,47.72
38188,Reel Film Reviews,Rotten,2002-10-07,Swept Away,R,Comedy,2002-10-11,2012-04-16,89.0,Screen Gems,Rotten,5.0,79.0,Rotten,28.0,8936.0,37.5,2002,UK,A snooty socialite is stranded on a Mediterranean island with a communist sailor.,36.0,15526.0,0.383,0.617,0.0,-0.607,0.0,0.881,0.119,0.3182,24.51
38247,Boxoffice Magazine,Fresh,2002-06-05,All or Nothing,R,Art House & International,2002-10-25,2017-01-19,128.0,MGM Distribution Company,Fresh,82.0,92.0,Fresh,81.0,5237.0,70.0,2002,UK,"In a poor working class London home Penny's love for her partner, taxi-driver Phil, has run dry, but when an unexpected tragedy occurs, they and their local community are brought together, and they rediscover their love.",75.0,9815.0,0.055,0.847,0.098,0.2541,0.079,0.588,0.333,0.836,78.08
38311,Boxoffice Magazine,Rotten,2002-06-05,Femme Fatale,R,Drama,2002-11-08,2009-08-01,110.0,Warner Bros. Pictures,Rotten,49.0,137.0,Rotten,49.0,18777.0,50.0,2002,USA,A worried artist tries to locate his wife who suddenly abandoned him only to discover that she led a secret life - or two. He proceeds to investigate her past and stirs up a hornet's nest.,47.0,487.0,0.0,0.885,0.115,0.2382,0.0,0.737,0.263,0.128,52.18
38513,Boxoffice Magazine,Rotten,2002-09-27,The Quiet American,R,Drama,2003-02-07,2016-10-08,101.0,Miramax Films,Fresh,87.0,156.0,Fresh,72.0,10685.0,60.0,2003,USA,A young naive American and a cynical older British diplomat disagree over politics in 1952 Vietnam and over a beautiful young native girl.,68.0,1637.0,0.0,0.741,0.259,0.6808,0.0,0.512,0.488,0.8591,77.16
38735,Slant Magazine,Rotten,2002-11-30,Pinocchio,G,Art House & International,2002-12-25,2016-10-08,108.0,Miramax Films,Rotten,0.0,55.0,Rotten,32.0,8941.0,37.5,2002,USA,"A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.",74.0,127618.0,0.078,0.826,0.096,0.1027,0.095,0.905,0.0,-0.2263,50.18
38957,Compuserve,Fresh,2002-11-07,Nicholas Nickleby,PG,Drama,2002-12-27,2016-09-03,138.0,United Artists,Fresh,78.0,128.0,Fresh,75.0,2724.0,75.0,2002,UK,"A young, compassionate man struggles to save his family and friends from the abusive exploitation of his cold-heartedly grasping uncle.",71.0,11371.0,0.17,0.586,0.244,0.3919,0.0,0.506,0.494,0.9485,74.05
39045,Compuserve,Rotten,2003-03-11,The Hunted,R,Action & Adventure,2003-03-14,2017-01-01,94.0,Paramount Pictures,Rotten,29.0,149.0,Rotten,47.0,41258.0,50.0,2003,USA,"Despite her pleas of innocence, an honest cop arrests his own girlfriend for her alleged part in a jewel robbery and he keeps hounding her after her release from prison, even though he still loves her.",66.0,436.0,0.0,0.774,0.226,0.4215,0.293,0.707,0.0,-0.4847,46.28
39453,Planet S Magazine,Fresh,2003-04-03,Anger Management,PG-13,Comedy,2003-04-11,2016-01-03,106.0,Sony Pictures Entertainment,Rotten,42.0,194.0,Fresh,60.0,745851.0,60.0,2003,USA,"Dave Buznik is a businessman who is wrongly sentenced to an anger management program, where he meets an aggressive instructor.",63.0,200456.0,0.075,0.588,0.337,0.8402,0.249,0.566,0.185,-0.4011,54.92
39603,Film Threat,Fresh,2003-02-14,Spellbound,G,Documentary,2002-03-14,2018-12-13,97.0,ThinkFilm,Fresh,97.0,139.0,Fresh,83.0,11052.0,70.0,2002,UK,"A young man's fiancé dies after contracting a terminal illness, and in his efforts to contact her he gets involved with a group of spiritualists.",58.0,116.0,0.084,0.845,0.071,-0.0976,0.0,0.821,0.179,0.34,83.04
39808,SPLICEDWire,Rotten,2003-08-12,Grind,PG-13,Action & Adventure,2003-08-15,2015-09-11,105.0,Warner Bros. Pictures,Rotten,8.0,74.0,Fresh,79.0,52894.0,0.0,2003,USA,"When a drag-racing, hard-luck parolee moves in with his brother in hopes of that ever-elusive fresh start in life, he's sure to be warm for the form of his brother's bored young wife. ...",56.0,384.0,0.165,0.64,0.195,0.2278,0.0,1.0,0.0,0.0,44.16
39914,eFilmCritic.com,Fresh,2003-03-11,Cabin Fever,R,Horror,2002-09-01,2016-05-23,94.0,Lion's Gate Films,Fresh,62.0,140.0,Rotten,44.0,250223.0,100.0,2002,USA,"Five college graduates rent a cabin in the woods and begin to fall victim to a horrifying flesh-eating virus, which attracts the unwanted attention of the homicidal locals.",57.0,73040.0,0.229,0.691,0.08,-0.7713,0.156,0.719,0.126,-0.1689,49.22
40120,AboutFilm.com,Fresh,2003-09-01,Luther,PG-13,Drama,2003-09-26,2019-04-09,120.0,R.S. Entertainment Inc.,Rotten,45.0,62.0,Fresh,74.0,8708.0,67.0,2003,UK,A man's views cause a rift between peasants and the church.,65.0,312.0,0.193,0.807,0.0,-0.4767,0.186,0.623,0.191,0.0183,59.87
40216,eFilmCritic.com,Fresh,2003-03-19,Dummy,R,Comedy,2003-09-12,2017-02-08,90.0,Shoreline Entertainment,Fresh,71.0,34.0,Fresh,74.0,7875.0,90.0,2003,USA,"An ex-office worker becomes a ventriloquist, leading to a date with his unemployment counselor; but his quirky family and a gauche female friend may thwart his new career and love life.",67.0,6393.0,0.079,0.644,0.278,0.6771,0.0,0.545,0.455,0.91,69.94
40266,Internet Reviews,Fresh,2003-10-05,Good Boy!,PG,Comedy,2003-10-10,2017-02-01,89.0,MGM,Rotten,44.0,87.0,Rotten,40.0,11877.0,75.0,2003,USA,"An intergalactic dog pilot from Sirius (the dog star), visits Earth to verify the rumors that dogs have failed to take over the planet.",51.0,4014.0,0.0,0.653,0.347,0.7845,0.0,0.775,0.225,0.4926,47.62
40329,Zap2it.com,Rotten,2003-10-09,House of the Dead,R,Action & Adventure,2003-10-10,2016-09-06,90.0,Artisan,Rotten,3.0,61.0,Rotten,10.0,46861.0,37.5,2003,Germany,"A group of college students travels to a mysterious island to attend a rave, which is soon taken over by bloodthirsty zombies.",20.0,35615.0,0.0,0.795,0.205,0.631,0.36,0.514,0.126,-0.7096,12.9
40379,Cinema Signals,Fresh,2003-11-17,The Missing,R,Action & Adventure,2003-11-26,2016-03-17,135.0,Sony Pictures Entertainment,Rotten,58.0,173.0,Rotten,50.0,49893.0,80.0,2003,USA,"In 1885 New Mexico, a frontier medicine woman forms an uneasy alliance with her estranged father when her daughter is kidnapped by an Apache brujo.",65.0,32694.0,0.0,0.871,0.129,0.5256,0.0,0.831,0.169,0.5023,59.05
40505,Rolling Stone,Fresh,2003-11-20,Big Fish,PG-13,Comedy,2003-12-10,2012-04-16,125.0,Sony Pictures,Fresh,75.0,219.0,Fresh,89.0,498361.0,87.5,2003,USA,A frustrated son tries to determine the fact from fiction in his dying father's life.,80.0,408409.0,0.0,0.667,0.333,0.7579,0.0,0.647,0.353,0.7964,79.94
